iso,country,records,deaths,deaths_reported,deaths_coverage_pct,affected,affected_reported,affected_coverage_pct,damage_usd,damage_usd_reported,damage_usd_coverage_pct,damage_adjusted_usd,damage_adjusted_usd_reported,damage_adjusted_usd_coverage_pct
AFG,Afghanistan,182,19157.0,164,90.11,37456315.0,141,77.47,590110000.0,12,6.59,669120000.0,11,6.04
AGO,Angola,66,5734.0,51,77.27,9275857.0,60,90.91,12000000.0,2,3.03,21323000.0,2,3.03
AIA,Anguilla,1,4.0,1,100.0,15000.0,1,100.0,200000000.0,1,100.0,262682000.0,1,100.0
ALB,Albania,30,800.0,16,53.33,1128636.0,25,83.33,1021573000.0,6,20.0,981465000.0,5,16.67
ARE,United Arab Emirates,3,4.0,1,33.33,534.0,2,66.67,,0,0.0,,0,0.0
ARG,Argentina,89,540.0,50,56.18,2810040.0,75,84.27,9697410000.0,23,25.84,13444930000.0,23,25.84
ARM,Armenia,11,9.0,3,27.27,436615.0,10,90.91,211822000.0,4,36.36,323530000.0,4,36.36
ASM,American Samoa,4,40.0,2,50.0,25563.0,3,75.0,200000000.0,2,50.0,343172000.0,2,50.0
ATG,Antigua and Barbuda,3,1.0,1,33.33,32600.0,3,100.0,262600000.0,2,66.67,346956000.0,2,66.67
AUS,Australia,133,919.0,65,48.87,794311.0,107,80.45,59907854000.0,88,66.17,78810782000.0,87,65.41
AUT,Austria,34,2571.0,24,70.59,64959.0,10,29.41,6123000000.0,11,32.35,9942041000.0,11,32.35
AZE,Azerbaijan,10,51.0,5,50.0,132460.0,7,70.0,165000000.0,3,30.0,301910000.0,3,30.0
AZO,Azores Islands,1,,0,0.0,600.0,1,100.0,,0,0.0,,0,0.0
BDI,Burundi,58,884.0,31,53.45,3670252.0,55,94.83,15000000.0,2,3.45,20378000.0,2,3.45
BEL,Belgium,41,6272.0,25,60.98,108323.0,9,21.95,2952146000.0,6,14.63,3813424000.0,6,14.63
BEN,Benin,33,1025.0,28,84.85,1389838.0,33,100.0,,0,0.0,,0,0.0
BFA,Burkina Faso,38,8795.0,24,63.16,14068118.0,36,94.74,181176000.0,3,7.89,267464000.0,3,7.89
BGD,Bangladesh,160,12439.0,143,89.38,183156196.0,137,85.62,10650585000.0,27,16.88,15581683000.0,27,16.88
BGR,Bulgaria,48,7409.0,34,70.83,78078.0,24,50.0,1467304000.0,13,27.08,2125173000.0,13,27.08
BHS,Bahamas,17,405.0,8,47.06,55750.0,11,64.71,6727000000.0,10,58.82,9499605000.0,10,58.82
BIH,Bosnia and Herzegovina,36,986.0,15,41.67,1702645.0,26,72.22,857580000.0,6,16.67,1301436000.0,6,16.67
BLM,Saint Barthélemy,1,4.0,1,100.0,,0,0.0,,0,0.0,,0,0.0
BLR,Belarus,9,54.0,4,44.44,145734.0,7,77.78,40300000.0,2,22.22,72175000.0,2,22.22
