type,records,deaths,deaths_reported,deaths_coverage_pct,affected,affected_reported,affected_coverage_pct,damage_usd,damage_usd_reported,damage_usd_coverage_pct,damage_adjusted_usd,damage_adjusted_usd_reported,damage_adjusted_usd_coverage_pct
Animal incident,1,12.0,1,100.0,5.0,1,100.0,,0,0.0,,0,0.0
Drought,426,24259.0,28,6.57,1718069310.0,317,74.41,216264437000.0,122,28.64,276627230000.0,122,28.64
Earthquake,707,805285.0,466,65.91,168799215.0,686,97.03,708745158000.0,311,43.99,934705840000.0,308,43.56
Epidemic,895,125679.0,776,86.7,12787426.0,842,94.08,,0,0.0,,0,0.0
Extreme temperature,606,377163.0,508,83.83,133911278.0,168,27.72,52867193000.0,46,7.59,78804570000.0,46,7.59
Flood,4291,149977.0,3147,73.34,1894696349.0,3878,90.38,833395528000.0,1212,28.25,1122494845000.0,1205,28.08
Glacial lake outburst flood,8,478.0,7,87.5,94144.0,4,50.0,710000000.0,2,25.0,749504000.0,2,25.0
Impact,1,,0,0.0,301491.0,1,100.0,33000000.0,1,100.0,45605000.0,1,100.0
Infestation,29,,0,0.0,3200000.0,3,10.34,120000000.0,1,3.45,224350000.0,1,3.45
Mass movement (dry),15,459.0,15,100.0,4305.0,8,53.33,8000000.0,1,6.67,11056000.0,1,6.67
Mass movement (wet),504,23130.0,488,96.83,8617551.0,337,66.87,5674270000.0,54,10.71,7718328000.0,52,10.32
Storm,2924,228666.0,2182,74.62,938512765.0,2173,74.32,1950196225920.0,1433,49.01,2561623325000.0,1412,48.29
Volcanic activity,134,1744.0,25,18.66,7159578.0,125,93.28,3465433000.0,20,14.93,4430365000.0,20,14.93
Wildfire,355,2381.0,183,51.55,15266372.0,277,78.03,174157599000.0,137,38.59,213431269000.0,136,38.31
