year,records,deaths,deaths_reported,deaths_coverage_pct,affected,affected_reported,affected_coverage_pct,damage_usd,damage_usd_reported,damage_usd_coverage_pct,damage_adjusted_usd,damage_adjusted_usd_reported,damage_adjusted_usd_coverage_pct
2000,505,16611.0,352,69.7,174324559.0,414,81.98,46710236000.0,153,30.3,87328867000.0,153,30.3
2001,433,39958.0,296,68.36,108977678.0,363,83.83,26517909000.0,133,30.72,48214918000.0,133,30.72
2002,491,20911.0,338,68.84,659429710.0,395,80.45,51660952000.0,149,30.35,92463552000.0,149,30.35
2003,390,113130.0,280,71.79,255104693.0,314,80.51,71361270000.0,122,31.28,124888391000.0,122,31.28
2004,394,244705.0,267,67.77,162328548.0,317,80.46,136510448000.0,132,33.5,232675794000.0,132,33.5
2005,482,93494.0,354,73.44,160721118.0,376,78.01,214250251000.0,142,29.46,353196632000.0,142,29.46
2006,458,29863.0,332,72.49,126314836.0,381,83.19,34254949000.0,103,22.49,54705339000.0,103,22.49
2007,446,22399.0,350,78.48,212867474.0,355,79.6,74641997000.0,131,29.37,115897484000.0,131,29.37
2008,389,241993.0,283,72.75,221833643.0,326,83.8,190871247000.0,111,28.53,285410786000.0,111,28.53
2009,388,16038.0,282,72.68,201821038.0,314,80.93,46761393000.0,104,26.8,70172051000.0,104,26.8
2010,433,330153.0,315,72.75,260016139.0,334,77.14,132567085000.0,108,24.94,195725587000.0,108,24.94
2011,354,34125.0,260,73.45,212786023.0,296,83.62,364126268000.0,101,28.53,521153727000.0,101,28.53
2012,372,11728.0,283,76.08,123502961.0,297,79.84,159999890000.0,145,38.98,224356300000.0,145,38.98
2013,358,22202.0,266,74.3,99391744.0,293,81.84,120632189000.0,168,46.93,166711757000.0,168,46.93
2014,342,20888.0,245,71.64,142770342.0,277,80.99,98070105000.0,153,44.74,133367789000.0,153,44.74
2015,397,24332.0,281,70.78,431871055.0,329,82.87,87625817000.0,158,39.8,119023175000.0,158,39.8
2016,350,10730.0,256,73.14,205478852.0,286,81.71,148212721000.0,154,44.0,198810888000.0,154,44.0
2017,371,11912.0,261,70.35,104242189.0,322,86.79,326770568920.0,153,41.24,429184202000.0,153,41.24
2018,337,15989.0,224,66.47,84123965.0,253,75.07,133598222000.0,127,37.69,171285775000.0,127,37.69
2019,438,22667.0,339,77.4,109266331.0,353,80.59,100921056000.0,72,16.44,127087344000.0,72,16.44
2020,414,15766.0,293,70.77,103484195.0,335,80.92,176247447000.0,141,34.06,219239463000.0,141,34.06
2021,437,14619.0,269,61.56,119488215.0,377,86.27,257613038000.0,145,33.18,306073747000.0,145,33.18
2022,436,80524.0,318,72.94,185835701.0,343,78.67,224856029000.0,101,23.17,247359032000.0,101,23.17
2023,462,139149.0,332,71.86,120058640.0,359,77.71,207224368000.0,94,20.35,218949966000.0,94,20.35
2024,447,84058.0,330,73.83,169018614.0,348,77.85,277933717000.0,129,28.86,285246950000.0,129,28.86
2025,412,42492.0,295,71.6,111213984.0,329,79.85,172336771000.0,77,18.69,172336771000.0,77,18.69
2026,160,18797.0,125,78.12,35147542.0,134,83.75,63360900000.0,34,21.25,,0,0.0
