id,country,iso,region,type,event_id,year,subtype,event_name,deaths,affected,damage_usd,damage_adjusted_usd,start_month,start_day,end_year,map_id
2015-9618-IND,India,IND,Asia,Drought,2015-9618,2015,Drought,,,330000000.0,3000000000.0,4074935000.0,1.0,,2016,356
2002-9349-IND,India,IND,Asia,Drought,2002-9349,2002,Drought,,,300000000.0,910722000.0,1630024000.0,7.0,,2002,356
2003-0315-CHN,China,CHN,Asia,Flood,2003-0315,2003,Riverine flood,,430.0,150146000.0,7890000000.0,13808182000.0,6.0,23.0,2003,156
2010-0239-CHN,China,CHN,Asia,Flood,2010-0239,2010,Riverine flood,,1691.0,134000000.0,18000000000.0,26575682000.0,5.0,29.0,2010,156
2007-0268-CHN,China,CHN,Asia,Flood,2007-0268,2007,Riverine flood,,535.0,105004000.0,4425655000.0,6871766000.0,6.0,15.0,2007,156
2002-0180-CHN,China,CHN,Asia,Storm,2002-0180,2002,Sand/Dust storm,,,100000000.0,,,3.0,14.0,2002,156
2016-0010-USA,United States of America,USA,Americas,Storm,2016-0010,2016,Blizzard/Winter storm,Storm Jonas (Snowzilla),50.0,85000012.0,550000000.0,737764000.0,1.0,23.0,2016,840
2002-0350-CHN,China,CHN,Asia,Flood,2002-0350,2002,Flash flood,,793.0,80035257.0,3100000000.0,5548427000.0,6.0,8.0,2002,156
2008-0020-CHN,China,CHN,Asia,Extreme temperature,2008-0020,2008,Severe winter conditions,,129.0,77000000.0,21100000000.0,31550942000.0,1.0,10.0,2008,156
2011-0227-CHN,China,CHN,Asia,Flood,2011-0227,2011,Riverine flood,,467.0,67900000.0,6400000000.0,9159965000.0,6.0,1.0,2011,156
2002-9203-CHN,China,CHN,Asia,Drought,2002-9203,2002,Drought,,,60000000.0,,,4.0,,2002,156
2009-9655-CHN,China,CHN,Asia,Drought,2009-9655,2009,Drought,,,60000000.0,3600000000.0,5402307000.0,10.0,,2010,156
2016-0241-CHN,China,CHN,Asia,Flood,2016-0241,2016,Flood (General),,289.0,60000000.0,22000000000.0,29510553000.0,6.0,28.0,2016,156
2000-9222-IND,India,IND,Asia,Drought,2000-9222,2000,Drought,,20.0,50000000.0,588000000.0,1099317000.0,4.0,,2001,356
2003-9064-CHN,China,CHN,Asia,Drought,2003-9064,2003,Drought,,,48000000.0,,,1.0,,2003,156
2008-0192-CHN,China,CHN,Asia,Earthquake,2008-0192,2008,Ground movement,,87476.0,45976596.0,85000000000.0,127100952000.0,5.0,12.0,2008,156
2002-0374-IND,India,IND,Asia,Flood,2002-0374,2002,Riverine flood,,549.0,42000000.0,30772000.0,55076000.0,6.0,21.0,2002,356
2009-0292-CHN,China,CHN,Asia,Flood,2009-0292,2009,Riverine flood,,90.0,39372000.0,1000000000.0,1500641000.0,7.0,1.0,2009,156
2004-0298-BGD,Bangladesh,BGD,Asia,Flood,2004-0298,2004,Riverine flood,,730.0,36000000.0,2200000000.0,3749799000.0,6.0,20.0,2004,050
2010-9701-CHN,China,CHN,Asia,Drought,2010-9701,2010,Drought,,,35000000.0,2370000000.0,3499131000.0,12.0,,2011,156
