id,country,iso,region,type,event_id,year,subtype,event_name,deaths,affected,damage_usd,damage_adjusted_usd,start_month,start_day,end_year,year_month,map_id
2010-0017-HTI,Haiti,HTI,Americas,Earthquake,2010-0017,2010,Ground movement,,222570.0,3700000.0,8000000000.0,11811414000.0,1.0,12.0,2010,2010-01,332
2004-0659-IDN,Indonesia,IDN,Asia,Earthquake,2004-0659,2004,Tsunami,,165708.0,532898.0,4451600000.0,7587548000.0,12.0,26.0,2004,2004-12,360
2008-0184-MMR,Myanmar,MMR,Asia,Storm,2008-0184,2008,Tropical cyclone,Cyclone 'Nargis',138366.0,2420000.0,4000000000.0,5981221000.0,5.0,2.0,2008,2008-05,104
2008-0192-CHN,China,CHN,Asia,Earthquake,2008-0192,2008,Ground movement,,87476.0,45976596.0,85000000000.0,127100952000.0,5.0,12.0,2008,2008-05,156
2005-0575-PAK,Pakistan,PAK,Asia,Earthquake,2005-0575,2005,Ground movement,,73338.0,5128309.0,5200000000.0,8572324000.0,10.0,8.0,2005,2005-10,586
2010-0372-RUS,Russian Federation,RUS,Europe,Extreme temperature,2010-0372,2010,Heat wave,,55736.0,,400000000.0,590571000.0,6.0,,2010,2010-06,643
2023-0054-TUR,Türkiye,TUR,Asia,Earthquake,2023-0054,2023,Ground movement,,53000.0,16107000.0,34000000000.0,35923858000.0,2.0,6.0,2023,2023-02,792
2004-0659-LKA,Sri Lanka,LKA,Asia,Earthquake,2004-0659,2004,Tsunami,,35399.0,1019306.0,1316500000.0,2243914000.0,12.0,26.0,2004,2004-12,144
2003-0630-IRN,Iran (Islamic Republic of),IRN,Asia,Earthquake,2003-0630,2003,Ground movement,,26796.0,267628.0,500000000.0,875043000.0,12.0,26.0,2003,2003-12,364
2003-0391-ITA,Italy,ITA,Europe,Extreme temperature,2003-0391,2003,Heat wave,,20089.0,,4400000000.0,7700380000.0,7.0,16.0,2003,2003-07,380
2001-0033-IND,India,IND,Asia,Earthquake,2001-0033,2001,Ground movement,,20005.0,6321812.0,2623000000.0,4769144000.0,1.0,26.0,2001,2001-01,356
2010-9082-SOM,Somalia,SOM,Africa,Drought,2010-9082,2010,Drought,,20000.0,4000000.0,,,2.0,,2011,2010-02,706
2011-0082-JPN,Japan,JPN,Asia,Earthquake,2011-0082,2011,Tsunami,,19846.0,368820.0,210000000000.0,300561348000.0,3.0,11.0,2011,2011-03,392
2003-0391-FRA,France,FRA,Europe,Extreme temperature,2003-0391,2003,Heat wave,,19490.0,,4400000000.0,7700380000.0,8.0,1.0,2003,2003-08,250
2024-0369-ITA,Italy,ITA,Europe,Extreme temperature,2024-0369,2024,Heat wave,,19038.0,,,,6.0,1.0,2024,2024-06,380
2022-0465-ITA,Italy,ITA,Europe,Extreme temperature,2022-0465,2022,Heat wave,,18010.0,,,,5.0,30.0,2022,2022-05,380
2004-0659-IND,India,IND,Asia,Earthquake,2004-0659,2004,Tsunami,,16389.0,654512.0,1022800000.0,1743316000.0,12.0,26.0,2004,2004-12,356
2003-0391-ESP,Spain,ESP,Europe,Extreme temperature,2003-0391,2003,Heat wave,,15090.0,,880000000.0,1540076000.0,8.0,1.0,2003,2003-08,724
2023-0610-LBY,Libya,LBY,Africa,Storm,2023-0610,2023,Storm (General),Storm 'Daniel',13200.0,1600000.0,6200000000.0,6550821000.0,9.0,10.0,2023,2023-09,434
2023-0438-ITA,Italy,ITA,Europe,Extreme temperature,2023-0438,2023,Heat wave,,12743.0,,,,7.0,12.0,2023,2023-07,380
